Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup	BasinId	elev_mean	slope_mean	area_gages2	runoff_ratio	baseflow_index	stream_elas
2	32	0	0.666349	0.799	0.638675	1.226433	1.333572	1.105737	1.038835	0.829376	12332	8.7	0.795	2	1411300	15.25	2.0326	79.32	0.374178811	0.724230437	1.050374095
2	33	0	0.62935	0.76	1.752227	1.897912	1.890599	2.878232	2.51096	0.796904	12492	-0.4	0.76	2	1413500	724.51	69.6517	424.1	0.511237169	0.530017057	1.212595532
2	34	0	0.551845	0.693	2.126477	2.13142	2.055777	3.176612	2.633404	0.74768	12476	-3.5	0.694	2	1414500	775.58	59.57585	64.45	0.562712057	0.530299154	1.161063061
2	35	0	0.554669	0.731	1.70408	1.726325	1.767692	2.553677	2.266175	0.756375	12474	2.4	0.731	2	1415000	604.34	64.53263	85.63	0.479676468	0.509840196	1.262669563
2	36	0	0.703172	0.798	1.408901	1.773001	1.622257	2.5861	2.340053	0.84286	12499	-8.5	0.807	2	1423000	593.67	49.86765	859.68	0.496978106	0.522809848	1.479674867
2	37	0	0.492687	0.615	3.342162	2.74376	2.519201	4.692548	3.592479	0.706059	11386	-8.2	0.621	2	1434025	729.33	59.4071	9.7	0.634761839	0.493758124	0.738849584
2	38	0	0.571312	0.643	2.932419	2.86534	2.544325	4.478915	3.409837	0.759245	12481	-11.2	0.653	2	1435000	560.05	54.94492	172.46	0.687251848	0.540275165	1.246484253
2	39	0	0.718776	0.821	1.252996	2.004146	1.894924	2.362875	2.16377	0.851493	12492	-5.4	0.823	2	1439500	307.06	22.25987	305.88	0.550426939	0.58446711	1.160536673
2	40	0	0.743405	0.79	1.258928	1.788669	1.702315	2.485388	2.110083	0.863023	12453	-4.8	0.793	2	1440000	234.2	28.80165	167.72	0.506237971	0.589172276	0.953120109
2	41	0	0.670165	0.765	1.692827	2.085493	1.927026	2.947689	2.556082	0.82166	12483	-7.6	0.771	2	1440400	334.06	26.46515	175.21	0.551243772	0.562586937	1.147147039
