2.8000	3.0200
3.0000	2.5100
1.8000	2.2500
2.4000	2.3800
2.0000	2.2200
2.0000	2.7800
2.4000	3.3700
3.6000	3.8500
3.3000	3.5900
2.8000	3.3200
2.8000	2.9600
2.8000	2.6800
2.4000	2.5800
2.2000	2.3500
1.9000	2.1700
2.7000	2.6300
1.9000	2.9500
3.7000	3.2800
4.7000	2.7900
4.2000	3.5900
4.5000	3.7500
3.3200	3.3800
3.6000	3.2400
3.1100	3.3400
2.7300	2.9300
3.1000	2.6300
3.0800	2.7400
2.5400	2.7400
2.5200	2.1800
1.9900	2.0300
2.1900	2.2900
2.6900	1.9300
1.6900	1.8600
1.5600	2.0300
1.5500	1.2200
3.0300	2.5300
0.7600	2.4000
3.9100	2.7600
2.7000	2.5000
3.4800	3.0000
2.3800	2.8700
2.2700	2.5500
2.5500	2.5500
2.5300	2.5600
2.5300	2.6100
2.5600	2.3200
3.0400	2.3200
0.9300	1.6900
