Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup
5	8	1	0.345571	-90071992547409.984375	0.792309	0.000000	-0.000769	0.998803	0.581467	0.587881	26	-0.100000	0.413000	1.000000
5	9	1	0.675501	-0.032000	0.559186	-0.000385	-0.000769	1.001073	0.817894	0.821903	26	-0.000000	0.745000	1.000000
5	10	1	0.390269	-0.134000	0.765818	0.000000	0.000000	1.000168	0.617816	0.624755	26	0.000000	0.464000	1.000000
6	1	1	0.999999	0.999000	0.000990	0.161373	0.161275	1.291181	1.291067	1.000000	102	-0.000000	1.000000	2.000000
6	2	1	0.836639	0.422000	0.404364	0.005466	0.002415	1.002583	0.879801	0.915471	236	-0.200000	0.851000	2.000000
6	3	1	1.000000	1.000000	0.000000	0.597903	0.597903	1.157714	1.157714	1.000000	62	0.000000	1.000000	2.000000
6	4	1	1.000000	1.000000	0.000000	0.206174	0.206174	1.099163	1.099163	1.000000	149	0.000000	1.000000	2.000000
6	5	1	0.569335	-0.088000	0.672031	0.006633	0.013469	1.026669	0.772324	0.754576	196	0.500000	0.651000	2.000000
6	6	1	0.899659	0.567000	0.316372	0.003315	0.004728	1.001479	0.946898	0.948509	184	0.100000	0.925000	2.000000
6	7	1	0.608476	-0.532000	0.624662	0.000155	-0.000078	1.000251	0.779778	0.780049	258	-0.000000	0.689000	2.000000
7	1	1	0.982431	0.931000	0.132500	0.000021	0.000020	1.000027	0.991695	0.991177	1273	-0.000000	0.988000	3.000000
7	2	1	0.827103	-0.239000	0.415590	-0.000230	0.000053	0.999916	0.909957	0.909452	1132	0.000000	0.872000	3.000000
7	3	1	0.844352	0.883000	0.394456	-0.000615	-0.000628	1.000322	0.918931	0.918886	1019	-0.000000	0.885000	3.000000
7	4	1	0.849462	-0.129000	0.387837	0.000202	-0.000025	1.000088	0.921171	0.921663	1023	-0.000000	0.889000	3.000000
7	5	1	0.629184	-130.039000	0.608710	0.000002	-0.000300	0.999996	0.792297	0.793212	1302	-0.000000	0.707000	3.000000
7	6	1	0.629184	-130.039000	0.608710	0.000002	-0.000300	0.999996	0.792297	0.793212	1302	-0.000000	0.707000	3.000000
7	7	1	0.982431	0.931000	0.132500	0.000021	0.000020	1.000027	0.991695	0.991177	1273	-0.000000	0.988000	3.000000
7	8	1	0.983299	-6.109000	0.129136	-0.000038	0.000231	0.999665	0.991280	0.991615	1272	0.000000	0.988000	3.000000
7	9	1	0.864316	-0.198000	0.367538	-0.002658	0.000514	0.998147	0.929688	0.929693	1382	0.200000	0.902000	3.000000
7	10	1	0.963696	-5.932000	0.190448	-0.000043	-0.000343	0.999911	0.981442	0.981680	1341	-0.000000	0.974000	3.000000
7	11	1	0.940774	-0.187000	0.243300	0.000158	0.000344	1.000085	0.970600	0.969935	1441	0.000000	0.958000	3.000000
7	12	1	0.893884	-1.849000	0.325590	-0.000014	0.000026	1.000004	0.946378	0.945455	980	0.000000	0.924000	3.000000
8	1	1	0.999979	1.000000	0.004486	-0.118972	-0.118929	0.984554	0.984740	0.999990	719	0.000000	1.000000	4.000000
8	2	1	0.964901	0.805000	0.188300	-0.003714	-0.004428	1.005565	0.974563	0.982383	1032	-0.000000	0.964000	4.000000
8	3	1	0.982010	-0.506000	0.134426	0.000751	-0.000380	1.002577	0.988512	0.990978	1448	-0.000000	0.983000	4.000000
8	4	1	0.854091	0.843000	0.381962	0.003974	0.003522	1.000287	0.922502	0.924173	1499	-0.000000	0.891000	4.000000
8	5	1	0.972277	0.939000	0.166396	-0.029894	-0.028135	0.999738	0.996102	0.986096	1346	0.100000	0.986000	4.000000
8	6	1	0.934604	0.730000	0.258238	0.006007	0.004409	1.010160	0.975606	0.966751	1488	-0.100000	0.952000	4.000000
8	7	1	0.902429	0.643000	0.318578	-0.004640	-0.006257	1.020266	0.957432	0.950035	1376	-0.000000	0.921000	4.000000
8	8	1	0.825507	-1.794000	0.421361	-0.000732	0.001311	1.009039	0.905238	0.908649	1525	0.100000	0.862000	4.000000
8	9	1	0.999905	0.990000	0.009821	-0.043599	-0.044022	1.007578	1.007836	0.999953	726	-0.000000	1.000000	4.000000
8	10	1	0.777553	0.412000	0.474170	-0.002105	-0.000919	1.005724	0.885551	0.881792	1382	0.000000	0.832000	4.000000
8	11	1	0.804048	0.369000	0.452663	-0.001532	-0.002470	1.022949	0.906458	0.896751	1405	-0.000000	0.846000	4.000000
