Dataset,NSE,KGE,KGE*,RMSE,mean_Yo,mean_Yp,sd_Yo,sd_Yp,rho,N,Normalized?
5,0.897769,-0.009,0.926,0.318357,0.000096,-0.000001,0.999862,0.947533,0.947507,120,1
5,0.929246,0.072,0.949,0.264947,-0.000022,-0.000002,1.000229,0.963923,0.963974,120,1
5,0.924572,0.018,0.946,0.273494,-0.000102,-0.000002,0.999993,0.961489,0.961546,120,1
5,0.930403,0.01,0.95,0.262707,-0.000119,-0.000001,0.999987,0.964542,0.964574,120,1
5,0.915061,-0.06,0.939,0.290227,-0.000072,0.000004,1.000006,0.956615,0.956588,120,1
5,0.918027,0.009,0.941,0.285022,0.000156,0.000002,0.999677,0.958099,0.958137,120,1
5,0.915423,-0.004,0.939,0.2897,-0.000183,0,1.000323,0.956868,0.956778,120,1
5,0.924972,-0.001,0.946,0.27273,-0.00026,0,0.999853,0.961802,0.961754,120,1
5,0.900626,-0.001,0.928,0.313919,0.000117,0,0.999994,0.949027,0.949013,120,1
5,0.882497,-0.014,0.914,0.341542,0.000055,-0.000001,1.000545,0.939416,0.939413,120,1
5,0.912382,0.007,0.936,0.294845,0.000297,0.000003,1.000263,0.955213,0.955187,120,1
5,0.896452,0.011,0.925,0.32038,-0.000112,-0.000002,0.999796,0.946921,0.946812,120,1
5,0.922026,0.002,0.944,0.278166,0.000408,0.000002,1.000337,0.960268,0.960222,120,1
5,0.914536,0.012,0.938,0.291231,-0.000173,-0.000002,1.000376,0.956296,0.956314,120,1
5,0.918674,0.003,0.941,0.284046,-0.000127,-0.000001,1.000211,0.958548,0.958475,120,1
5,0.925755,0.006,0.947,0.271298,0.000057,0,0.999841,0.962179,0.962162,120,1
5,0.927671,-0.034,0.948,0.267685,-0.000046,0.000001,0.999505,0.963233,0.963157,120,1
5,0.926761,0.001,0.947,0.269415,0.000127,0,0.999697,0.962712,0.962684,120,1
5,0.915138,-0.004,0.938,0.2903,-0.000257,0,1.000708,0.956589,0.956629,120,1
5,0.914795,-0.013,0.938,0.290687,0.000166,-0.000002,1.000021,0.9564,0.956449,120,1
5,0.925535,0.155,0.946,0.271705,0.000006,0.000001,0.999858,0.961994,0.962047,120,1
5,0.912273,-0.029,0.937,0.294848,0.000034,-0.000001,0.999655,0.955121,0.95513,120,1
5,0.919832,0.002,0.942,0.282004,0.000063,0,1.000166,0.959174,0.959079,120,1
5,0.908548,-0.007,0.934,0.301168,-0.000161,0.000001,1.000066,0.953219,0.953178,120,1
5,0.900228,-0.004,0.928,0.31453,0.000222,0,0.999943,0.948848,0.948804,120,1
5,0.897921,-0.06,0.926,0.318163,-0.000037,0.000002,0.999994,0.947677,0.947587,120,1
5,0.907612,-0.006,0.933,0.302816,-0.000102,0,1.000433,0.95259,0.952687,120,1
5,0.899691,-0.015,0.927,0.315383,0.000115,-0.000001,0.999967,0.948423,0.94852,120,1
5,0.902578,-0.012,0.929,0.310965,-0.00014,0.000001,1.000461,0.950004,0.950041,120,1
5,0.922184,-0.001,0.944,0.277783,0.000388,0,0.999972,0.960371,0.960304,120,1
5,0.930808,-0.003,0.95,0.262005,-0.000164,0,1.000226,0.964772,0.964784,120,1
5,0.927855,-0.013,0.948,0.267438,-0.00017,0.000002,0.999859,0.963246,0.963252,120,1
5,0.89291,-0.039,0.922,0.325865,-0.000085,0.000003,0.999956,0.94495,0.944939,120,1
5,0.9255,0.077,0.946,0.271858,-0.000034,-0.000003,1.000188,0.962079,0.962029,120,1
5,0.926511,-0.023,0.947,0.270008,0.000095,-0.000002,1.000192,0.962509,0.962554,120,1
5,0.929146,0.218,0.949,0.265069,0.000003,0.000001,0.999986,0.963828,0.963922,120,1
5,0.930403,-0.261,0.95,0.262588,-0.000001,0,0.999531,0.964657,0.964574,120,1
5,0.912435,0.01,0.937,0.294649,0.000059,0.000001,0.999899,0.95523,0.955214,120,1
5,0.916277,-0.012,0.94,0.288114,0.000076,-0.000001,0.999909,0.957186,0.957224,120,1
5,0.924491,-0.028,0.945,0.273642,0.000119,-0.000003,1.000001,0.961404,0.961505,120,1
5,0.916892,-0.011,0.94,0.287083,0.0001,-0.000001,1.000008,0.95754,0.957545,120,1
5,0.88085,-0.018,0.913,0.343824,0.000027,0,1.000246,0.938496,0.938536,120,1
5,0.911773,-0.084,0.936,0.295706,-0.000032,0.000003,0.999718,0.954861,0.954868,120,1
5,0.913265,0.018,0.937,0.293248,-0.000095,-0.000002,0.999899,0.95568,0.955649,120,1
5,0.914181,0.006,0.938,0.291674,0.000207,0.000002,0.999824,0.956077,0.956128,120,1
5,0.922051,-0.001,0.944,0.277977,-0.00053,0,0.999818,0.960156,0.960235,120,1
5,0.913046,-0.004,0.937,0.293619,0.000192,0,0.999896,0.955522,0.955534,120,1
6,0.748555,0.791,0.791,0.339925,1.890612,1.89,0.684919,0.575768,0.86555,49,0
6,0.621354,0.651,0.651,0.928986,4.648182,4.648182,1.523622,1.09652,0.791528,55,0
6,0.596949,0.662,0.662,1.213695,5.43186,5.432326,1.934367,1.4499,0.77298,43,0
6,0.820286,0.838,0.838,0.644598,3.116875,3.117083,1.53663,1.332716,0.906546,48,0
6,0.703865,0.743,0.743,0.754115,3.776939,3.776531,1.400137,1.118771,0.839964,49,0
6,0.531693,0.61,0.61,0.65636,3.405714,3.405714,0.969067,0.696994,0.729241,49,0
6,0.632475,0.684,0.684,0.870521,5.819388,5.818776,1.450818,1.099588,0.796204,49,0
6,0.777955,0.804,0.804,0.422508,4.365957,4.36617,0.906325,0.763634,0.882941,47,0
6,0.985243,0.968,0.968,0.093675,3.938438,3.939062,0.783471,0.758991,0.992888,32,0
6,0.574416,0.637,0.637,1.037671,3.676364,3.676909,1.605283,1.170326,0.758474,55,0
6,0.749295,0.783,0.783,0.630253,3.209184,3.209388,1.271775,1.054118,0.866433,49,0
6,0.76057,0.779,0.779,0.446101,2.475833,2.475625,0.921331,0.754044,0.873867,48,0
6,0.477743,0.551,0.551,0.581277,2.671667,2.67125,0.812855,0.547597,0.691418,48,0
6,0.522144,0.582,0.582,2.231366,5.401273,5.401273,3.257666,2.234399,0.723577,55,0
6,0.822672,0.821,0.821,1.030382,6.582,6.582364,2.469418,2.089867,0.909191,55,0
6,0.856292,0.878,0.878,0.770393,5.065357,5.064821,2.050619,1.853406,0.925617,56,0
6,0.727905,0.781,0.781,1.407584,5.480727,5.480545,2.723317,2.280407,0.853322,55,0
6,0.462135,0.529,0.529,1.3194,4.228214,4.228036,1.815317,1.187946,0.680298,56,0
7,0.881065,0.913,0.913,1632.262547,3500,3499.999792,4943.444511,4640.169045,0.938651,12,0
7,0.754782,0.814,0.814,1950.661756,3690.5,3690.497533,4114.336763,3574.482363,0.868782,12,0
7,0.552156,0.757,0.732,1613.623696,3688,3284.763425,2577.714824,2507.422318,0.784558,8,0
7,0.783815,0.838,0.838,1628.178091,3580.6,3580.59536,3691.198938,3267.946704,0.885333,10,0
7,0.911628,0.936,0.936,1082.213395,3938.636364,3938.648091,3818.132614,3645.503109,0.954792,11,0
7,0.721923,0.787,0.787,2174.422612,4949.727273,4949.727436,4324.719369,3674.571707,0.849661,11,0
7,0.632653,0.768,0.763,1987.436191,3893.25,3543.623633,3424.909504,3101.182218,0.808364,12,0
7,0.886605,0.917,0.917,714.186023,2027.25,2027.248958,2215.177486,2085.805965,0.941597,12,0
7,0.787368,0.841,0.841,969.931348,2172.181818,2172.176045,2206.090561,1957.512253,0.887338,11,0
7,0.784746,0.839,0.839,1512.237816,3811.5,3811.49634,3435.75928,3043.603939,0.885859,10,0
7,0.865639,0.906,0.906,1083.090836,3077.4375,3057.553731,3051.708876,2859.765704,0.930446,16,0
7,0.668351,0.742,0.742,1147.340045,2592.363636,2592.360736,2089.531348,1708.248367,0.817527,11,0
7,0.545786,0.631,0.631,1314.891786,2601.090909,2601.087018,2046.238083,1511.707763,0.738773,11,0
7,0.80071,0.851,0.851,1268.64053,2797.916667,2797.913658,2968.178213,2655.941837,0.894824,12,0
7,0.948864,0.963,0.963,752.750392,2872.230769,2872.230885,3464.734072,3374.986588,0.974097,13,0
7,0.821543,0.868,0.868,1242.383081,2760.923077,2760.922762,3061.041448,2774.467265,0.90639,13,0
7,0.94516,0.961,0.961,626.149434,2890.8,2890.799367,2767.651743,2690.692898,0.972193,15,0
7,0.796154,0.855,0.855,1167.299499,2422.357143,2386.93555,2683.01947,2424.21565,0.892449,14,0
7,0.903466,0.93,0.93,702.367304,3220.090909,3220.090882,2370.939453,2253.59754,0.950508,11,0
7,0.83717,0.88,0.88,1254.172483,3471.076923,3471.072369,3234.972706,2959.910988,0.91497,13,0
7,0.817972,0.855,0.871,1146.234904,2305.75,2054.690275,2872.102503,2776.758134,0.910947,8,0
7,0.692257,0.762,0.762,2363.699056,2513.818182,2513.773809,4468.83904,3718.143572,0.83202,11,0
7,0.697749,0.767,0.767,1687.222145,3233.222222,3233.224944,3255.099721,2719.02066,0.835313,9,0
7,0.894263,0.923,0.923,1603.152892,5719.333333,5719.334758,5149.389467,4869.545485,0.945655,12,0
7,0.931923,0.951,0.951,460.338976,1684.5,1684.499937,1886.139671,1820.806711,0.965362,8,0
7,0.668628,0.742,0.742,445.982017,512.3,512.29996,816.654292,667.775598,0.817697,10,0
7,0.962328,0.973,0.973,967.01976,4393.333333,4393.333822,5284.481905,5183.987777,0.980983,9,0
7,0.931747,0.954,0.954,1415.157255,4541,4502.36622,5709.822278,5543.64336,0.965313,10,0
7,0.934684,0.956,0.957,1110.401015,3545.222222,3491.526011,4608.359165,4496.292602,0.966909,9,0
7,0.862177,0.899,0.899,1522.336068,4556.916667,4556.9495,4282.959331,3976.936287,0.928535,12,0
7,0.706876,0.775,0.775,1265.121335,2048.444444,2048.4443,2478.463945,2083.790974,0.840759,9,0
7,0.661825,0.736,0.736,511.475699,768.5,768.499983,918.646089,747.342441,0.813526,12,0
7,0.888217,0.919,0.919,1633.549758,4326.5,4326.50046,5150.195234,4853.815735,0.942453,10,0
7,0.929073,0.949,0.949,1163.700255,3491.545455,3491.545891,4582.820973,4417.310044,0.963885,11,0
7,0.85206,0.891,0.891,1346.622423,2861.625,2861.623512,3742.814981,3454.892864,0.923071,8,0
7,0.824208,0.87,0.87,1702.63122,3745.1,3745.0994,4280.551793,3886.193489,0.907859,10,0
7,0.849174,0.889,0.889,1621.607769,3068,3067.992258,4361.152496,4018.858519,0.921506,12,0
7,0.672788,0.757,0.757,1525.29682,2303.4,2240.25759,2810.726328,2354.831471,0.820755,10,0
7,0.732652,0.796,0.796,1568.126536,3049,3049.013869,3156.627604,2701.866053,0.855951,13,0
7,0.740649,0.803,0.803,1375.63293,2526.272727,2526.265,2833.055456,2438.113353,0.86061,11,0
7,0.966947,0.976,0.976,765.973767,3806.3,3806.29977,4441.085079,4367.073478,0.983335,10,0
7,0.864675,0.901,0.901,1161.331436,3685.545455,3685.542455,3311.029277,3078.866409,0.929879,11,0
7,0.791401,0.844,0.844,1284.908774,3504.2,3504.20352,2965.47953,2638.075324,0.889607,10,0
7,0.744739,0.806,0.806,1397.716329,2298.5,2298.499064,2870.909578,2477.55125,0.862983,14,0
7,0.795535,0.847,0.847,1563.724986,3104.909091,3104.915191,3626.995022,3234.995593,0.891928,11,0
7,0.834148,0.877,0.877,1923.285057,4871.090909,4871.102791,4953.127506,4523.866552,0.913317,11,0
7,0.87967,0.912,0.912,1105.229398,2746.1875,2746.170437,3290.640793,3086.284051,0.937907,16,0
7,0.928934,0.949,0.949,1009.781693,3158.538462,3158.537777,3942.554705,3799.881493,0.963812,13,0
7,0.753943,0.814,0.814,1896.654637,2978.384615,2978.383446,3979.713422,3455.590093,0.868299,13,0
7,0.87566,0.909,0.909,1499.623726,5055.2,5055.20126,4482.855707,4194.907929,0.935767,10,0
7,0.714169,0.781,0.781,2299.939009,4167.583333,4167.583042,4493.203584,3797.158605,0.845085,12,0
7,0.903354,0.93,0.93,1419.602025,5542.5,5542.501721,4738.777914,4503.967997,0.950449,14,0
7,0.777393,0.833,0.833,2066.285429,5318.75,5318.751558,4574.1971,4033.11493,0.881699,12,0
7,0.834593,0.878,0.878,1707.008755,4742.583333,4742.594433,4383.818955,4004.960406,0.91356,12,0
7,0.683334,0.755,0.755,1802.349421,3293.230769,3293.224623,3333.646731,2755.719112,0.82664,13,0
7,0.68965,0.76,0.76,1914.533847,3124.666667,3124.657113,3557.287764,2954.127887,0.830452,15,0
7,0.874943,0.915,0.916,1594.417642,4238,4179.811931,4692.76024,4444.247951,0.935543,13,0
7,0.963344,0.974,0.974,946.130939,4464.888889,4464.888756,5241.464834,5144.502814,0.981501,9,0
7,0.706663,0.812,0.809,1997.889965,4179.4,3856.66888,3888.365072,3576.937195,0.848209,10,0
7,0.787858,0.841,0.841,1079.059442,1753.8,1753.799647,2425.008106,2152.47,0.887613,15,0
7,0.704559,0.773,0.773,722.915165,978.363636,978.364327,1394.917078,1170.865456,0.83938,11,0
7,0.896582,0.925,0.925,950.157306,3973.777778,3973.778133,3133.814001,2967.346149,0.94688,9,0
7,0.581607,0.688,0.689,1690.121004,2381.4,2264.0697,2754.256512,2205.527439,0.764799,10,0
7,0.66889,0.773,0.772,1848.106828,3503.636364,3291.480182,3368.506205,2937.801035,0.822048,11,0
7,0.917535,0.94,0.94,1058.406893,3256.444444,3256.448111,3909.258245,3744.604012,0.957881,9,0
7,0.732113,0.814,0.814,2175.056676,4678.166667,4570.210367,4389.235217,3878.303438,0.856452,12,0
7,0.698901,0.768,0.768,1739.505918,2770.727273,2770.734164,3324.815306,2779.545691,0.836003,11,0
7,0.858161,0.896,0.896,1355.560734,3532.444444,3532.444078,3817.66408,3536.600195,0.92637,9,0
7,0.580619,0.68,0.68,1522.433065,2558.416667,2500.04865,2455.434176,1932.178986,0.76277,12,0
7,0.615569,0.729,0.729,1431.454399,2646.181818,2526.236236,2421.389594,2029.168425,0.787896,11,0
7,0.833412,0.877,0.877,1204.721915,3351,3350.9894,3082.894744,2814.431343,0.912914,12,0
7,0.792333,0.845,0.845,1283.010905,3353.25,3353.244217,2940.633856,2617.554716,0.890131,12,0
7,0.903676,0.93,0.93,1200.762071,3224.3,3224.30101,4078.203936,3876.818502,0.950619,10,0
7,0.875326,0.909,0.909,951.217273,2423,2423.0012,2909.81248,2722.387729,0.935589,7,0
7,0.702774,0.784,0.784,1596.441733,2735.3,2660.87565,3086.656697,2649.255869,0.838925,10,0
7,0.647188,0.777,0.77,1733.058332,3363.222222,2911.467911,3094.693918,2949.244419,0.828631,9,0
7,0.706842,0.786,0.787,1383.841231,2388.2,2332.1894,2694.102192,2313.966283,0.84121,10,0
7,0.83532,0.878,0.878,755.190075,2046.538462,2046.537492,1936.94044,1770.283173,0.913958,13,0
7,0.763403,0.821,0.821,1040.9314,1400.583333,1400.582525,2235.178596,1952.944578,0.87373,12,0
7,0.923863,0.945,0.945,996.453669,3818.777778,3818.778144,3830.322531,3681.620293,0.961178,9,0
8,0.886693,0.917,0.917,1593.174381,3500,3499.990567,4943.444511,4655.048696,0.941644,12,0
8,0.757159,0.816,0.816,1941.183744,3690.5,3690.498292,4114.336763,3580.090045,0.870149,12,0
8,0.900102,0.928,0.928,824.025163,2269.538462,2269.538854,2713.585961,2574.480037,0.948737,13,0
8,0.803287,0.853,0.853,1553.119237,3580.6,3580.60525,3691.198938,3308.296662,0.896263,10,0
8,0.940738,0.957,0.957,886.220161,3938.636364,3938.634627,3818.132614,3703.272309,0.969917,11,0
8,0.722303,0.788,0.788,2172.938484,4949.727273,4949.727482,4324.719369,3675.524134,0.849884,11,0
8,0.827963,0.873,0.873,1359.09344,2748.176471,2748.176076,3377.561495,3073.327274,0.909925,17,0
8,0.896065,0.924,0.924,683.745134,2027.25,2027.249692,2215.177486,2096.903478,0.946607,12,0
8,0.805841,0.855,0.855,926.84299,2172.181818,2172.181545,2206.090561,1980.377237,0.897686,11,0
8,0.784818,0.839,0.839,1511.983097,3811.5,3811.48521,3435.75928,3043.720381,0.8859,10,0
8,0.879786,0.912,0.912,1025.11668,2896.411765,2896.399,3047.616201,2858.579074,0.937969,17,0
8,0.680084,0.752,0.752,1126.860713,2592.363636,2592.363145,2089.531348,1723.178693,0.824672,11,0
8,0.5486,0.633,0.633,1310.812559,2601.090909,2601.091055,2046.238083,1515.598362,0.740675,11,0
8,0.807947,0.857,0.857,1245.393641,2797.916667,2797.911108,2968.178213,2667.975547,0.898859,12,0
8,0.95038,0.964,0.964,741.508592,2872.230769,2872.230146,3464.734072,3377.680323,0.974874,13,0
8,0.838628,0.881,0.881,1181.414343,2760.923077,2760.920862,3061.041448,2803.197953,0.915766,13,0
8,0.946157,0.961,0.961,620.430819,2890.8,2890.79964,2767.651743,2692.111615,0.972706,15,0
8,0.806409,0.856,0.856,1130.686168,2260.866667,2260.85766,2659.999218,2388.693568,0.898003,15,0
8,0.931742,0.951,0.951,590.608714,3220.090909,3220.090127,2370.939453,2288.592287,0.965268,11,0
8,0.845899,0.886,0.886,1220.089599,3471.076923,3471.032015,3234.972706,2975.265739,0.919728,13,0
8,0.991353,0.994,0.994,227.65336,1537.166667,1537.166942,2556.988599,2545.908985,0.995667,12,0
8,0.728964,0.793,0.793,2218.257135,2513.818182,2513.7314,4468.83904,3815.439172,0.853794,11,0
8,0.89919,0.927,0.927,974.406911,3233.222222,3233.222522,3255.099721,3086.669078,0.948256,9,0
8,0.903708,0.93,0.93,1529.878948,5719.333333,5719.333558,5149.389467,4895.190386,0.950635,12,0
8,0.950195,0.964,0.964,393.745207,1684.5,1684.499825,1886.139671,1838.570056,0.974779,8,0
8,0.676057,0.749,0.749,440.954252,512.3,512.29998,816.654292,671.475253,0.822227,10,0
8,0.963904,0.974,0.974,946.571265,4393.333333,4393.3324,5284.481905,5188.232091,0.981786,9,0
8,0.950476,0.965,0.965,1185.507444,4128.181818,4128.186873,5587.170193,5447.069472,0.974923,11,0
8,0.975317,0.982,0.982,668.786761,3190.7,3190.70012,4487.111594,4431.387699,0.987581,10,0
8,0.87419,0.908,0.908,1454.475547,4556.916667,4556.952542,4282.959331,4004.542719,0.934982,12,0
8,0.991435,0.994,0.994,216.255698,2048.444444,2048.444467,2478.463945,2467.827164,0.995708,9,0
8,0.681005,0.753,0.753,496.75949,768.5,768.49955,918.646089,758.094717,0.82523,12,0
8,0.891519,0.921,0.921,1609.240858,4326.5,4326.50023,5150.195234,4862.829872,0.944203,10,0
8,0.929073,0.949,0.949,1163.699995,3491.545455,3491.546718,4582.820973,4417.30959,0.963885,11,0
8,0.89142,0.921,0.921,1153.658497,2861.625,2861.6327,3742.814981,3533.742863,0.94415,8,0
8,0.84518,0.886,0.886,1597.844516,3745.1,3745.10171,4280.551793,3935.315508,0.919337,10,0
8,0.896637,0.925,0.925,1342.422493,3068,3068.003425,4361.152496,4129.625294,0.946909,12,0
8,0.857554,0.895,0.895,991.56404,2094,2094.003445,2755.448457,2551.664291,0.926042,11,0
8,0.733576,0.797,0.797,1565.412043,3049,3048.9937,3156.627604,2703.627798,0.856491,13,0
8,0.777635,0.833,0.833,1273.773588,2526.272727,2526.273109,2833.055456,2498.290895,0.881836,11,0
8,0.979156,0.985,0.985,608.275073,3806.3,3806.29945,4441.085079,4394.556695,0.989523,10,0
8,0.895786,0.924,0.924,1019.130994,3685.545455,3685.534109,3311.029277,3133.774255,0.94646,11,0
8,0.827802,0.872,0.872,1167.427198,3504.2,3504.19988,2965.47953,2698.100693,0.909836,10,0
8,0.776171,0.832,0.832,1308.837359,2298.5,2298.500086,2870.909578,2529.287086,0.881005,14,0
8,0.902654,0.929,0.929,1078.973381,3104.909091,3104.919664,3626.995022,3445.954765,0.950081,11,0
8,0.845903,0.886,0.886,1853.87576,4871.090909,4871.107073,4953.127506,4555.624655,0.91973,11,0
8,0.894389,0.923,0.923,1035.428893,2746.1875,2746.186906,3290.640793,3112.029958,0.945722,16,0
8,0.931019,0.95,0.95,994.858549,3158.538462,3158.532238,3942.554705,3804.154832,0.964893,13,0
8,0.820726,0.867,0.867,1618.935386,2978.384615,2978.390331,3979.713422,3605.384298,0.905939,13,0
8,0.933394,0.952,0.952,1097.573191,5055.2,5055.19756,4482.855707,4330.999711,0.966123,10,0
8,0.7904,0.843,0.843,1969.506987,4167.583333,4167.589775,4493.203584,3994.675742,0.889044,12,0
8,0.933116,0.952,0.952,1180.955742,5542.5,5542.506829,4738.777914,4577.562062,0.96598,14,0
8,0.883578,0.915,0.915,1494.299712,5318.75,5318.765392,4574.1971,4299.775259,0.939988,12,0
8,0.84341,0.885,0.885,1660.889033,4742.583333,4742.594308,4383.818955,4026.040538,0.918373,12,0
8,0.899331,0.927,0.927,1016.218326,3293.230769,3293.230808,3333.646731,3161.398686,0.94833,13,0
8,0.875166,0.909,0.909,1214.239427,3124.666667,3124.666767,3557.287764,3327.853105,0.935503,15,0
8,0.93152,0.951,0.951,1161.258201,3673.066667,3673.06908,4593.326502,4433.262009,0.965153,15,0
8,0.973835,0.981,0.981,799.350622,4464.888889,4464.889633,5241.464834,5172.43836,0.986831,9,0
8,0.847278,0.888,0.888,1439.490098,3214.923077,3214.942123,3833.88179,3528.962453,0.920477,13,0
8,0.804852,0.855,0.855,1034.935041,1753.8,1753.799113,2425.008106,2175.561577,0.897136,15,0
8,0.747989,0.809,0.809,667.670302,978.363636,978.363409,1394.917078,1206.412769,0.864863,11,0
8,0.976529,0.983,0.983,452.647785,3973.777778,3973.778422,3133.814001,3096.819904,0.988195,9,0
8,0.824471,0.87,0.87,1066.262183,1984.5,1984.500075,2658.180119,2413.641718,0.908004,12,0
8,0.904907,0.931,0.931,990.942058,2964.615385,2964.613762,3344.674985,3181.691228,0.951266,13,0
8,0.94915,0.964,0.964,831.117142,3256.444444,3256.447111,3909.258245,3808.574423,0.974243,9,0
8,0.864113,0.9,0.9,1555.986761,4009.857143,4009.854229,4380.347753,4071.871043,0.929577,14,0
8,0.807139,0.856,0.856,1392.172744,2770.727273,2770.752109,3324.815306,2987.017432,0.898409,11,0
8,0.8975,0.926,0.926,1152.349619,3532.444444,3532.440367,3817.66408,3616.695312,0.947365,9,0
8,0.871623,0.906,0.906,845.337671,2361.615385,2361.615192,2455.652036,2292.614876,0.933607,13,0
8,0.909828,0.935,0.935,699.200379,2239.076923,2239.076892,2423.518189,2311.670307,0.953849,13,0
8,0.903935,0.93,0.93,914.841987,3351,3350.999658,3082.894744,2931.078062,0.950755,12,0
8,0.904205,0.931,0.931,871.399597,3353.25,3353.250308,2940.633856,2796.240662,0.950897,12,0
8,0.913499,0.937,0.937,1137.893885,3224.3,3224.29612,4078.203936,3897.851576,0.955771,10,0
8,0.877081,0.91,0.91,944.497818,2423,2423.000143,2909.81248,2725.114588,0.936526,7,0
8,0.941409,0.958,0.958,702.111591,2486.636364,2486.636827,3042.182482,2951.714179,0.970262,11,0
8,0.912867,0.937,0.937,825.588262,2017.933333,2017.933373,2895.040006,2766.039546,0.955441,15,0
8,0.834969,0.878,0.878,1028.508695,2171.090909,2171.0916,2655.347038,2426.367871,0.913766,11,0
8,0.838789,0.881,0.881,747.192935,2046.538462,2046.538123,1936.94044,1773.955068,0.915854,13,0
8,0.764582,0.822,0.822,1038.335594,1400.583333,1400.583317,2235.178596,1954.448836,0.874404,12,0
8,0.930662,0.95,0.95,950.922909,3818.777778,3818.764811,3830.322531,3695.140391,0.964708,9,0
9,0.973112,0.981,0.981,1.199111,105.246667,105.246667,7.756328,7.651354,0.986464,9,0
9,0.893482,0.923,0.923,2.524163,106.944167,106.944183,8.077924,7.635599,0.945242,12,0
9,0.970444,0.979,0.979,1.294061,107.181667,107.181667,7.861857,7.744795,0.985111,12,0
9,0.953777,0.967,0.967,1.747616,106.628,106.62799,8.568298,8.367925,0.976615,10,0
9,0.955273,0.968,0.968,1.764569,107.26,107.26001,8.794972,8.596028,0.977381,10,0
9,0.914171,0.938,0.938,1.962555,108.100833,108.100842,6.996802,6.689796,0.956123,12,0
9,0.994325,0.996,0.996,0.592692,107.274545,107.274555,8.25196,8.228519,0.997159,11,0
9,0.942064,0.958,0.958,1.924508,104.175,104.174986,8.297334,8.053404,0.9706,14,0
9,0.931051,0.95,0.95,2.06275,105.413571,105.413571,8.152204,7.866147,0.96491,14,0
9,0.932456,0.951,0.951,1.87458,105.0825,105.082483,7.533656,7.274778,0.965638,12,0
9,0.90674,0.932,0.932,2.41896,105.434545,105.434555,8.307637,7.910763,0.952229,11,0
9,0.979158,0.985,0.985,1.125509,106.483571,106.483586,8.090374,8.00562,0.989524,14,0
9,0.932866,0.952,0.952,1.959255,105.613333,105.613333,7.89797,7.628244,0.96585,12,0
9,0.91162,0.936,0.936,2.102208,105.532308,105.532315,7.360025,7.027266,0.954788,13,0
9,0.931718,0.951,0.951,1.892328,106.9425,106.942483,7.563732,7.300931,0.965255,12,0
9,0.983712,0.988,0.988,0.880874,106.508462,106.508462,7.183969,7.125218,0.991823,13,0
9,0.968032,0.977,0.977,1.5545,105.778182,105.778209,9.118626,8.971686,0.983886,11,0
9,0.955043,0.968,0.968,1.596102,107.028333,107.028342,7.862375,7.6836,0.977263,12,0
9,0.958317,0.97,0.97,1.338528,106.342727,106.342718,6.876112,6.73129,0.978937,11,0
9,0.936287,0.954,0.954,1.845612,107.358462,107.358469,7.610405,7.36397,0.967619,13,0
9,0.913879,0.938,0.938,2.02116,105.254444,105.254456,7.305038,6.983392,0.95597,9,0
9,0.935369,0.954,0.954,1.643088,103.19125,103.19125,6.909342,6.682351,0.967145,8,0
9,0.900569,0.928,0.928,2.443054,102.735833,102.735833,8.092184,7.679345,0.948983,12,0
9,0.935346,0.954,0.954,2.009401,107.8,107.80001,8.330071,8.056274,0.967133,10,0
9,0.944492,0.96,0.96,1.613758,104.982727,104.982727,7.183847,6.98162,0.97185,11,0
9,0.908249,0.934,0.934,2.288012,106.679091,106.679091,7.922265,7.550093,0.953021,11,0
9,0.940799,0.958,0.958,1.877658,104.53875,104.538737,7.970131,7.730622,0.969948,16,0
9,0.947502,0.962,0.962,1.972489,105.5375,105.5375,8.991604,8.752407,0.973397,12,0
9,0.948154,0.963,0.963,2.077495,107.344167,107.344175,9.529652,9.279314,0.973732,12,0
9,0.974384,0.982,0.982,1.359931,105.926667,105.926658,8.874814,8.760415,0.987109,12,0
9,0.943695,0.96,0.96,1.437206,105.952308,105.952308,6.304163,6.124104,0.97144,13,0
9,0.967914,0.977,0.977,1.484828,106.758,106.75801,8.737677,8.59634,0.983826,10,0
9,0.938586,0.956,0.956,1.97002,105.933333,105.933325,8.302941,8.043954,0.968807,12,0
9,0.943483,0.959,0.959,1.525155,104.592,104.59201,6.762443,6.568576,0.971331,10,0
9,0.908348,0.934,0.934,2.42558,104.36375,104.363737,8.565255,8.163299,0.953073,8,0
9,0.951152,0.965,0.965,1.49713,105.948333,105.948325,7.075048,6.900087,0.97527,12,0
9,0.948615,0.963,0.963,1.763477,102.260667,102.26066,8.052527,7.842916,0.973969,15,0
9,0.923157,0.945,0.945,2.454748,100.821,100.82101,9.334362,8.968558,0.960811,10,0
9,0.934405,0.953,0.953,1.558695,105.057143,105.05715,6.315654,6.105019,0.966646,14,0
9,0.938035,0.955,0.955,2.21294,102.101818,102.101809,9.323781,9.03028,0.968522,11,0
10,0.884625,0.892,0.901,0.661432,1.684192,1.540386,1.947363,1.881744,0.94371,12503,0
10,0.726474,0.781,0.785,1.300592,2.14504,1.973588,2.486907,2.132016,0.855121,12500,0
10,0.802029,0.842,0.848,1.032151,1.856153,1.728369,2.31985,2.091999,0.897265,12508,0
10,0.757432,0.794,0.821,1.660879,2.021889,1.763511,3.372396,3.031294,0.874025,12499,0
10,0.709235,0.722,0.757,1.827081,2.159614,1.781202,3.388472,2.864047,0.849545,12498,0
10,0.736644,0.708,0.754,1.832427,2.28409,1.819336,3.570861,2.98909,0.868668,12491,0
