Dataset,NSE,KGE,KGE*,RMSE,mean_Yo,mean_Yp,sd_Yo,sd_Yp,rho,N,Normalized?
3,0.983299,-6.109,0.988,0.129136,-0.000038,0.000231,0.999665,0.99128,0.991615,1272,1
3,0.864316,-0.198,0.902,0.367538,-0.002658,0.000514,0.998147,0.929688,0.929693,1382,1
3,0.963696,-5.932,0.974,0.190448,-0.000043,-0.000343,0.999911,0.981442,0.98168,1341,1
3,0.940774,-0.187,0.958,0.2433,0.000158,0.000344,1.000085,0.9706,0.969935,1441,1
3,0.893884,-1.849,0.924,0.32559,-0.000014,0.000026,1.000004,0.946378,0.945455,980,1
4,0.999979,1,1,0.004486,-0.118972,-0.118929,0.984554,0.98474,0.99999,719,1
4,0.964901,0.805,0.964,0.1883,-0.003714,-0.004428,1.005565,0.974563,0.982383,1032,1
4,0.98201,-0.506,0.983,0.134426,0.000751,-0.00038,1.002577,0.988512,0.990978,1448,1
4,0.854091,0.843,0.891,0.381962,0.003974,0.003522,1.000287,0.922502,0.924173,1499,1
4,0.972277,0.939,0.986,0.166396,-0.029894,-0.028135,0.999738,0.996102,0.986096,1346,1
4,0.934604,0.73,0.952,0.258238,0.006007,0.004409,1.01016,0.975606,0.966751,1488,1
4,0.902429,0.643,0.921,0.318578,-0.00464,-0.006257,1.020266,0.957432,0.950035,1376,1
4,0.825507,-1.794,0.862,0.421361,-0.000732,0.001311,1.009039,0.905238,0.908649,1525,1
4,0.999905,0.99,1,0.009821,-0.043599,-0.044022,1.007578,1.007836,0.999953,726,1
4,0.777553,0.412,0.832,0.47417,-0.002105,-0.000919,1.005724,0.885551,0.881792,1382,1
4,0.804048,0.369,0.846,0.452663,-0.001532,-0.00247,1.022949,0.906458,0.896751,1405,1
4,0.875313,0.801,0.907,0.353096,-0.002632,-0.002167,1.000401,0.933794,0.935584,1140,1
5,0.507792,-0.079,0.594,0.698662,0.000384,0,1.000023,0.712602,0.712595,120,1
5,0.726174,0.531,0.793,0.520571,-0.009063,-0.005251,0.999021,0.854386,0.852172,119,1
